Restaurant Name,Address ;
La Perla  - Restaurant Italien,5 Rue Montorgueil - 75001 Paris France;
Univerre Paris,4 rue de Tournon - 75006 Paris France;
Bistro De Paris,98 boulevard Diderot - 75012 Paris France;
Holiday Cafe,192 Avenue de Versailles - 75016 Paris France;
Au Métro,13 rue des 2 Boules - 75001 Paris France;
Itegue Taitu,66 rue Armand Carrel - 75019 Paris France;
Le Paradis Du Couscous,22 Rue Wilhem - 75016 Paris France;
Pho So 1,71 avenue de Choisy - 75013 Paris France;
Loco,31 B rue du Faubourg Montmartre - 75009 Paris France;
Bistrot Osaka,95 avenue de Villiers - 75017 Paris France;
NA,NA;
Le Compère,18 rue Leopold Bellan - 75002 Paris France;
Chocolaterie Cyril Lignac,25 rue Chanzy - 75011 Paris France;
ORIGIN Restaurant by Renaissance Paris Republique Hotel,40 Rue Rene Boulanger Renaissace Paris Republique Hotel - 75010 Paris France;
Oishinoya,24 Galerie Montmartre - 75002 Paris France;
L'Envigne,9 rue de Moscou - 75008 Paris France;
NA,NA;
Café Pinson x LE66  - FERMÉ,66 avenue des Champs Elysees - 75008 Paris France;
Monplaisir,104 boulevard de Menilmontant - 75020 Paris France;
NA,NA;
Le Salon  - FERMÉ,Rue Victor Cousin - 75005 Paris France;
Le Cafe de Lyon,27 rue de Lyon - 75012 Paris France;
Chez Sommay,70 rue Rebeval - 75019 Paris France;
NA,NA;
ZAFITO Restaurant,52 Rue Blanche - 75009 Paris France;
NA,NA;
Boulangerie BASSO,49 rue de la Jonquière - 75017 Paris France;
L'Office,148 boulevard de Charonne - 75020 Paris France;
Thai Time,7 rue Crozatier - 75012 Paris France;
NA,NA;
Dalloyau Faubourg,101 rue du Faubourg Saint -Honoré - 75008 Paris France;
Boris Lume Patisserie Boulangerie,48 rue Caulaincourt - 75018 Paris France;
Pierre Hermé  - Vaugirard,185 rue de Vaugirard - 75015 Paris France;
Ô Petit Naples,8 rue d Alleray - 75015 Paris France;
Qiao Jiang Nan,43 rue de Provence - 75009 Paris France;
Starbucks,83 rue Saint Charles Beaugrenelle - 75015 Paris France;
L'exposition Café,Galerie de la Villette Grande Halle de la Villette - Exposition James Bond - 75019 Paris France;
Matsuda,19 rue Saint Roch - 75001 Paris France;
Habanero Café,17 rue de Lappe - 75011 Paris France;
Sense Eat,39 rue Mazarine - 75006 Paris France;
La Tute,7 rue Rossini Face A Drouot Salle Des Ventes - 75009 Paris France;
Mazeh,65 rue des Entrepreneurs - 75015 Paris France;
Yoji Osaka Sushi,70 rue Mazarine - 75006 Paris France;
L'Île de Crète,10 rue Mouffetard - 75005 Paris France;
NA,NA;
Fondue 9,168 Rue Saint Denis 75002 - 75002 Paris France;
chez alexandre,16 rue du Louvre - 75001 Paris France;
Angkor Monorom,3 rue des Plantes - 75014 Paris France;
La Boulangerie De Jeanne,109 avenue Ledru Rollin - 75011 Paris France;
Le Bar des Halles,71 rue Saint Honore - 75001 Paris France;
Délices de Saigon,5 rue Edmond Gondinet - 75013 Paris France;
Jais,3 rue Surcouf - 75007 Paris France;
Pozzetto,39 rue du Roi de Sicile Metro Hotel de Ville/stPaul - 75004 Paris France;
L’Ile Flottante,31 rue des 2 Ponts - 75004 Paris France;
Bêp Vietnamese Street Food,102 rue la Fayette - 75010 Paris France;
Petula cafe,6 rue des Ciseaux - 75006 Paris France;
Le Moulin a Caffe,22 rue de Caumartin - 75009 Paris France;
Le Palais de Raja Maharaja,21 rue d Ouessant - 75015 Paris France;
NA,NA;
Il Tronchetto,22 rue de Lourmel - 75015 Paris France;
NA,NA;
NA,NA;
La Table Ronde  - FERMÉ,46 rue Jacques Hillairet - 75012 Paris France;
Monjul,28 rue des Blancs Manteaux - 75004 Paris France;
MARTIN Bar by Renaissance Paris Republique Hotel,40 Rue Rene Boulanger - 75010 Paris France;
Yocto  - FERMÉ,20 rue Cadet - 75009 Paris France;
L'horizon,93 rue de la Roquette - 75011 Paris France;
La Traboule,27 -29 rue de Penthievre - 75008 Paris France;
Village India  - FERMÉ,14 Rue Mercoeur - 75011 Paris France;
NA,NA;
NA,NA;
Crêperie Plougastel,47 Rue Du Montparnasse - 75014 Paris France;
Maison Marnay,24 rue Saint Martin - 75004 Paris France;
Pizza des as,82 rue Boileau - 75016 Paris France;
Tonki,11 rue Godot de Mauroy - 75009 Paris France;
Sahara Café,12 rue de l Eperon - 75006 Paris France;
Café Soucoupe,33 rue du Faubourg Poissonniere - 75009 Paris France;
Wok Gambas,4 rue Etienne Marcel - 75002 Paris France;
Le 45 Tours,45 rue de Montreuil - 75011 Paris France;
Le Jean Mouloud,195 Rue Championnet - 75018 Paris France;
Restaurant Ashiana,229 rue du Faubourg Saint Honoré restaurant Indien - 75008 Paris France;
Madeleine,39 - boulevard de Bonne Nouvelle - 75002 Paris France;
Osaba,29 Rue Saint -Placide - 75006 Paris France;
Daily Food,194 Avenue de Versailles - 75016 Paris France;
Novotel Café ,257 Rue de Vaugirard Hôtel Novotel Paris Vaugirard Montparnasse - 75015 Paris France;
NA,NA;
La Petite Porte,20 Boulevard Saint Martin - 75010 Paris France;
Le Dôme,24 rue Lauriston - 75116 Paris France;
Nagoya,58 boulevard du Montparnasse - 75015 Paris France;
NA,NA;
Les P'tits Plats By Vito,23 rue des Acacias - 75017 Paris France;
Persepolis,6 Rue Marceau - 75018 Paris France;
Asia Gourmet,37 avenue du Maine - 75014 Paris France;
Kitchen Story,15 rue au Maire - 75003 Paris France;
NA,NA;
Lili's,40 rue des Petits Champs - 75002 Paris France;
NA,NA;
NA,NA;
Le Latin,22 Rue Xavier Privas - 75005 Paris France;
Thai Siam,25 avenue de Wagram - 75017 Paris France;
La Caravelle,5 rue d Alesia - 75014 Paris France;
NA,NA;
KOKO BISTRO,14 Quai de la Loire - 75019 Paris France;
Le Palais de l'Inde  - FERMÉ,4 boulevard de Port Royal - 75005 Paris France;
Backstage Café,31 Bis Rue de la Gaité - 75014 Paris France;
NA,NA;
Bizan,56 rue Sainte Anne - 75002 Paris France;
Bar Lounge 18.75,3 Rue Caulaincourt Hôtel Mercure Paris Montmartre Sacre Coeur - 75018 Paris France;
The Office Table D'hotes,19 rue des Frigos - 75013 Paris France;
Nani patisserie,102 boulevard de Belleville - 75020 Paris France;
Indiana Café  - Bercy,59 -61 Cour Saint -Emilion Chais 59 -61 Cour Saint -Emilion - 75012 Paris France;
NA,NA;
NA,NA;
Chez Aldo Cafe,Boulevard de Strasbourg - 75010 Paris France;
Tim La Princesse,46 rue Marcadet - 75018 Paris France;
NA,NA;
Mona Lisa,5 boulevard de Port Royal - 75013 Paris France;
